index,text,end,start,user,index_column
49,"Working on with the Lifelong Learning Initiative, which is one quadrant of olins always Olin initiative.",00:12:04.590,00:11:57.360,Andrew Knight,47
50,As you've seen in some of the slides at the outset we are building currently,00:12:11.460,00:12:06.300,Andrew Knight,48
51,"And testing currently a platform that will support alumni learning in community. And so this is a platform that's going to be used to deliver content, similar to what we're going to experience today, but also other",00:12:25.650,00:12:12.060,Andrew Knight,49
52,"events that happen on campus, other kinds of thought leadership from our faculty as well as from alumni. And so this platform is going to be steadily rolling out in the weeks and months that come",00:12:38.850,00:12:26.010,Andrew Knight,50
53,You'll be able to find archived content things that have happened at the school in the past that we think are relevant.,00:12:44.430,00:12:39.390,Andrew Knight,51
54,And there will be opportunities for you to engage with your fellow alumni around some of those pieces of content so that you're sharing your expertise wisdom and insights with one another.,00:12:57.510,00:12:44.730,Andrew Knight,52
55,"Now as I mentioned at the start, we are so fortunate today to have with us. Professor liberty visitors.",00:13:05.250,00:12:57.960,Andrew Knight,53
56,Who is a Professor of Practice of data science here in the business school and she is someone who truly practices. What she preaches,00:13:14.520,00:13:05.670,Andrew Knight,54
57,She is active in disseminating her knowledge and expertise with respect to statistics data and analytics through so many different channels.,00:13:24.300,00:13:14.910,Andrew Knight,55
58,"Whether that is through the popular media where you might encounter some of her work and commentary, or through doing things like writing a book which is coming out here on the horizon.",00:13:36.420,00:13:24.690,Andrew Knight,56
59,"Just this month. And so we are so fortunate to have someone who is skilled and has deep expertise in this topic, and at the same time someone who is a skilled communicator about this topic. And so without further ado, please join me in welcoming Professor liberty that hurt.",00:13:55.740,00:13:36.840,Andrew Knight,57
60,"Hi, everybody. Thank you. I think I need to fire my PR person. And have you, Andrew. That was great. Um, does the screen. Look. Okay. Can you all see it.",00:14:05.850,00:13:57.180,Paul McCartney,58
61,"I think I hope I shared it right I'm learning zoom. Okay. Um, thank you all so much for having me here today I wanted to sort of",00:14:14.310,00:14:06.240,Paul McCartney,59
62,dive right in. I have these two graphs or two if you get bored listening to me talk,00:14:19.950,00:14:15.030,Paul McCartney,60
63,"But, um, you know, we've lived as humanists in our decision making for a very long time we go off our thoughts or opinions, our experience our gut and we are now living in this era of data ism.",00:14:32.610,00:14:20.280,Paul McCartney,61
64,"Where we have data drive our decisions, you know, from climate change to health care the refugee crisis. These all encompassing issues.",00:14:40.980,00:14:33.060,Paul McCartney,62
65,"But also in our everyday lives. You know, I don't go to the bookstore anymore. Amazon tells me what to read or dating apps tell you who you're compatible with",00:14:50.310,00:14:41.400,Paul McCartney,63
66,And I read an article like two or three days ago from new research that red wine is terrible for you and I swear. Two days later I read that red wine is wonderful for you and you should drink it.,00:15:01.800,00:14:50.700,Paul McCartney,64
67,"And it feels almost that humanism and data ism, or sort of pushing back against each other right now. Some people want to still go with that gut instinct and others want to have the drive are every decision.",00:15:13.890,00:15:02.340,Paul McCartney,65
68,But really the future is about bringing them together and that's what we're going to sort of touch on and have a taste of today is how we can get incredible ideas from data.,00:15:24.300,00:15:14.280,Paul McCartney,66
69,"But we also need to use that human touch. And I also want to say please use common questions, anything you want in the chat and makes it a lot more fun.",00:15:33.870,00:15:24.900,Paul McCartney,67
70,"Throughout the whole thing and I'll respond as we go. Um, so I want to start before we go into our many examples. And by the way, all these examples are short. So if one's boring. Just wait a couple minutes moving to a new one.",00:15:47.130,00:15:34.290,Paul McCartney,68
71,"Um, I wanted to visit with a French monk from the 17th century Blaise Pascal. You might also remember them from high school without Pascal's triangle so Pascal was a French monk who had a crisis of faith, but he decided to analyze his data.",00:16:05.160,00:15:47.700,Paul McCartney,69
72,"He felt that he had four scenarios. First, God doesn't exist, but he chooses to believe in God. He may live a wasted life with false belief, but when he dies, nothing happens.",00:16:20.550,00:16:06.330,Paul McCartney,70
73,"Now, he could not believe in God and God doesn't exist, and he may not have lived a wasted life of false belief, but again, when he dies, nothing happens.",00:16:30.990,00:16:21.300,Paul McCartney,71
74,"Now the third option God exists, and he believes in God, when he dies, he has the best case scenario heaven for him.",00:16:40.350,00:16:32.310,Paul McCartney,72
75,"But if God exists, and we don't believe in God. The fourth scenario, then it's eternal Hellfire really bad thing.",00:16:48.240,00:16:40.980,Paul McCartney,73
76,So what Pascal decided to do was to minimize the risk of the bad thing happening by believing in God and maximizing the potential is a good thing.,00:16:58.650,00:16:48.810,Paul McCartney,74
77,So he ruled out this possibility and left a 5050 chance of the best thing happening.,00:17:05.220,00:16:59.010,Paul McCartney,75
78,And that's really what data science is it's taking information from past and current events to predict the likelihood of a future event happening really the closest thing to a crystal ball. But the world has,00:17:19.260,00:17:05.820,Paul McCartney,76
79,The only difference between us and Pascal is we don't have four scenarios or four pieces of information we have endless amounts of data that is telling us what to do.,00:17:29.940,00:17:19.740,Paul McCartney,77
80,"And we also have something else. We're not sitting in a monastery, while we do this, we are having governments, businesses companies managers customers, clients even scientists, researchers",00:17:42.030,00:17:30.300,Paul McCartney,78
81,Trying to inform manipulate or persuade us using this data. So we need to be able to ask the right questions when data comes to us from a report or study or anything comes to us.,00:17:56.550,00:17:42.450,Paul McCartney,79
82,I want to discuss the questions that I ask every time I see one of these things. So we're going to have our for questions. And we're going to have examples of how if someone had just asked those questions.,00:18:08.640,00:17:56.880,Paul McCartney,80
83,"Everything would have been averted. The downside would have been minimized and the upside maximized. So let's start with our first question, who",00:18:17.190,00:18:08.910,Paul McCartney,81
84,"OJ Simpson, one of the most infamous criminal trials in American history to remind you. Oh Jay was an NFL superstar accused of murdering his ex WIFE NICOLE SIMPSON AND her lover Ronald while Goodman. I'm sure all of a lot of you remember the",00:18:33.810,00:18:18.720,Paul McCartney,82
85,"Case, and I'm sure a lot of you who are a little bit younger might remember one the Kardashian father is one of his lawyers, just to try to give some parallels there.",00:18:42.660,00:18:34.260,Paul McCartney,83
86,"Um, but, Alan Dershowitz whatever your personal feelings of him might be a fate is a famed legal mind in America, and he made a very interesting statistical argument during the trial.",00:18:54.630,00:18:43.290,Paul McCartney,84
87,He said that while it was known and definite that OJ beat Nicole absolutely no contest. So the fact that he physically abused her that it didn't matter.,00:19:04.980,00:18:55.110,Paul McCartney,85
88,"Because 4 million women in the United States are abused by their domestic partners, every year, but only one in 2500 of them are then murdered by their domestic partner. So the chance that OJ did it is one in 2500 and you can't convict someone on a one in 2500 chains.",00:19:23.190,00:19:05.610,Paul McCartney,86
89,"However, what the jury and most certainly the prosecution should have realized is that the statistic that Mr Dershowitz stated was completely irrelevant and here's why and Mr Dershowitz situation we have a living women who are currently domestic victims of domestic abuse.",00:19:43.830,00:19:24.360,Paul McCartney,87
90,"But at the time of the trial. NICOLE SIMPSON WAS NOT A living woman who's a victim of domestic abuse, whose chance of dying is one in 2500",00:19:54.090,00:19:44.850,Paul McCartney,88
91,But she's a murdered woman who was a victim of domestic abuse. We don't want to know the statistic about living women. We want to know the statistic about murdered women.,00:20:05.730,00:19:54.660,Paul McCartney,89
92,Who were victims of domestic abuse. And the question we want to know is that if you were a murdered woman.,00:20:12.510,00:20:06.120,Paul McCartney,90
93,"Who was a victim of domestic abuse, what is the chance that the guy who abused you murdered you versus being the victim of some random homicide.",00:20:23.400,00:20:13.230,Paul McCartney,91
94,"And in that case, the chance is nine and 10 so the chance that OJ killed Nicole was actually 90% not one in 2500",00:20:33.270,00:20:23.910,Paul McCartney,92
95,Though who we really wanted to know this statistic about changed everything.,00:20:39.210,00:20:33.900,Paul McCartney,93
96,"And it is so easy to miss the prosecution had their entire careers writing on this case, the whole world was watch it and they missed it.",00:20:48.930,00:20:39.720,Paul McCartney,94
97,This simple slip of the tongue of who we really want to know our data about living women who are victims murdered women who were changes everything. So that who question is integral whenever you get data.,00:21:01.890,00:20:49.560,Paul McCartney,95
98,Let's look at one more example of that Abraham Wald was a Jewish statistician who'd been locked out of the University positions and fled to the US before World War Two.,00:21:12.930,00:21:03.150,Paul McCartney,96
99,To avoid persecution and hungry.,00:21:15.360,00:21:13.500,Paul McCartney,97
100,"And he was recruited to help with the Allied cause and look at plane bombers that came back, he was told the analyze the bullet wounds on the plane bombers that came back.",00:21:25.350,00:21:16.170,Paul McCartney,98
101,"And decide which area of the plane that he should reinforce. So my question is, if you're Abraham walled, how do you decide by looking at these planes.",00:21:35.190,00:21:25.620,Paul McCartney,99
102,"What area, you should reinforce if you reinforce 10% of the plane.",00:21:39.510,00:21:35.550,Paul McCartney,100
103,"And he started with this data. This is the data. He had of all the planes that had come back bullet holes per square foot of the section of the plan. So just take one second, five seconds and think, where you would reinforce the plane. If you were Walt. Given this data.",00:21:57.210,00:21:40.080,Paul McCartney,101
104,Anyone is brave enough to put it into the chat. I'll be very impressed.,00:22:02.670,00:21:59.160,Paul McCartney,102
105,Real cockpit. Great.,00:22:06.060,00:22:04.590,Paul McCartney,103
106,Anywhere but we have everyone is too smart here.,00:22:10.320,00:22:07.440,Paul McCartney,104
107,Where the red dots are red gunner everyone is really smart here okay engines. So what most people think,00:22:20.100,00:22:12.780,Paul McCartney,105
108,"And what most people say is the area where there are the most bullets. Right. So the wings, the fuselage where the dots are the areas most bullets. That is what most people think and the most obvious answer.",00:22:31.290,00:22:20.460,Paul McCartney,106
109,What Walt is so famous for doing is saying that's actually not where we put it where we need to reinforce the planes or the undamaged parts and here's why.,00:22:43.950,00:22:31.740,Paul McCartney,107
110,"We have to who's we have planes that crashed abroad, the planes, the bombers that didn't make it back.",00:22:51.660,00:22:44.580,Paul McCartney,108
111,"And we have the planes that wall does able to see that we have did trivia. Trivia, I just saw this question in the chat, maybe lose my train of thought the trivia that came back. Now the planes that returned home.",00:23:03.330,00:22:52.020,Paul McCartney,109
112,"So we have two samples planes that crashed abroad planes that returned home, these are the ones come and see my cursor. I hope so. So I'm like pointing at the screen to which obviously you can see",00:23:12.510,00:23:03.660,Paul McCartney,110
113,"The planes that returned home, or what Walt was able to see and those planes when they got hit on the wings or the cockpit.",00:23:21.390,00:23:12.990,Paul McCartney,111
114,Right here. There's the cockpit. This is our engine when they got hit in the wings. They did their job. They made it back.,00:23:28.500,00:23:22.410,Paul McCartney,112
115,"They were not hit in the cockpit or the engine, the planes that crashed abroad, when they were hit in the cockpit or engine. They couldn't make it back.",00:23:38.340,00:23:29.430,Paul McCartney,113
116,"So, those who were looking at, or sometimes ones we can't even see and it gives us a whole nother answer of where we should be reinforcing the planes, so that both groups, both samples are able to make it back.",00:23:51.720,00:23:38.940,Paul McCartney,114
117,"So this brings us to our second question we have our first have who is the data really about, who do we want to know this data about and next",00:24:01.950,00:23:54.000,Paul McCartney,115
118,"Is what exactly are we, why are we prone to making this type of mistake error. Very good question. Andrew",00:24:07.980,00:24:02.190,Paul McCartney,116
119,"Part of what happens when we're trying to think about these things is we miss the simple answer right. Where's look so focused on looking at the data, the planes that made it back.",00:24:17.370,00:24:08.460,Paul McCartney,117
120,"That we don't take a step back and say, Who is it that we really care about. We don't really care about the planes that made it back, right, because they made it back. They did their job.",00:24:26.400,00:24:17.640,Paul McCartney,118
121,"We actually care about the who didn't make it back. So it's, it's all about taking one step back from the data and asking these actually very broad stroke questions.",00:24:37.260,00:24:26.640,Paul McCartney,119
122,"So our second question is, what what is, what is it that we really want to know if our data.",00:24:43.350,00:24:38.340,Paul McCartney,120
123,"Uber, there was an Uber ban in London Transport for London office. The authorizing authority for all taxis in London band Uber.",00:24:52.170,00:24:44.010,Paul McCartney,121
124,"Now, there's a lot of questions about why exactly they did it. But why they said they did it. Is that Uber was dangerous Uber had become associated with sexual assaults. I remember I was in London.",00:25:03.180,00:24:52.530,Paul McCartney,122
125,"I was getting an Uber. I was on the phone with my father and I said, Dad. I'll call you back. And he said, No, no, no. Liberty. Where are you, I said, I'm getting into Uber. He goes no, I've heard those are so dangerous in London. You can't get into what",00:25:13.920,00:25:03.480,Paul McCartney,123
126,"It's like 4pm on a Tuesday. But anyway, the public believed that Uber was dangerous the public truly believed it. So how, how did the public come to believe that Uber was dangerous.",00:25:25.740,00:25:14.130,Paul McCartney,124
127,"Well, the London taxi drivers Association, which is what you think of when you think of a black cab in London. They put up an advertisement.",00:25:33.900,00:25:26.160,Paul McCartney,125
128,Last year there are 154 rapes and sexual assaults by many cab drivers in London at least 32 of these Uber drivers.,00:25:42.330,00:25:34.620,Paul McCartney,126
129,There's also an image of a girl her makeup is streaming down her face. She is clearly just been sexually assaulted.,00:25:48.240,00:25:42.600,Paul McCartney,127
130,I just wanted to go home. Don't take a risk with a mini cap that's an incredibly powerful advertisement. And if you notice the Metropolitan Police. The London Police logo.,00:25:59.970,00:25:48.570,Paul McCartney,128
131,And the Transport for London office logo are both at the bottom of this ad incredibly powerful.,00:26:05.640,00:26:00.210,Paul McCartney,129
132,"And just do us a little bit of vocab when they say taxis taxis are black cabs, which are what you think of when you think of a London cab and mini caps that's any other type of private car transportation",00:26:16.740,00:26:05.880,Paul McCartney,130
133,"Uber's included so when they say 154 rapes and sexual assaults by mini cab drivers in London, they mean everything but blackcaps",00:26:24.630,00:26:17.370,Paul McCartney,131
134,Very powerful advertisement. The problem is that it wasn't true.,00:26:28.560,00:26:25.080,Paul McCartney,132
135,"What the freedom of information request act actually said is that there were 154 allegations of rape or sexual assault, where the suspect was alleged to be a taxi driver that includes blackcaps 32 of these or by an Uber driver.",00:26:42.660,00:26:29.130,Paul McCartney,133
136,"So clearly the black cab Association had taken themselves out of this when they were asked about this. They said, oops, sorry clerical error.",00:26:53.430,00:26:43.920,Paul McCartney,134
137,"Oh, we'll take it down and they did and they put up another one last year there 32 allegations of rape or sexual assault made against Uber drivers, the same image of the girl her makeup streaming down her face. She has clearly just been sexually assaulted. I just wanted to go home.",00:27:10.500,00:26:54.210,Paul McCartney,135
138,"Why up your risk with a mini cab. Now, it's true. The information is true. But, what question do we really want to know of our data.",00:27:19.770,00:27:11.970,Paul McCartney,136
139,Do you really up your risk. So let's take a look at the very simple numbers. We were given the wrong number of salts 32 by Uber drivers 154 total,00:27:31.380,00:27:21.030,Paul McCartney,137
140,But is that really what we want to know of our numbers. Is that really what we want to know of our data.,00:27:36.600,00:27:31.650,Paul McCartney,138
141,"If Uber was responsible for 32 sexual assaults, but only did 32 journeys, the entire year in London, they would be very dangerous. There's 100% chance you'll be sexually assaulted. If you get an Uber.",00:27:48.540,00:27:37.110,Paul McCartney,139
142,What if they did millions of journeys. What if they did many more than all of the others. So let's take a look.,00:27:54.660,00:27:48.900,Paul McCartney,140
143,Proportion of sexual assaults by Uber drivers 32 by Uber 154 total. So they are Uber's responsible for 20% of a sexual assaults in London.,00:28:04.830,00:27:55.020,Paul McCartney,141
144,"But how many journeys are they responsible for number of journeys in London and any kind of taxi, including Uber's 3,000,001 million of those are completed by Uber.",00:28:15.600,00:28:05.340,Paul McCartney,142
145,"So Uber is responsible for 33% of the journeys, but only 20% of the sexual assaults, meaning that Uber is actually a safer way to get around than any other type of tax.",00:28:31.740,00:28:16.020,Paul McCartney,143
146,"And what about these headlines, the number of cab drivers charged with violence or sexual offenses in London. Is it a five year high",00:28:39.300,00:28:32.640,Paul McCartney,144
147,Trying to say that with the introduction of Uber London has taxis have gotten much less safe well in 2015 there 136 reports of rape or sexual assault by taxis. When this headline was written.,00:28:51.060,00:28:39.570,Paul McCartney,145
148,"And what is the definition of a five year high, it means it was just as high five years ago in 2009 three years before Uber even started there 136 reports of rape or sexual assault by taxi drivers Uber had nothing to do with making it more unsafe.",00:29:07.200,00:28:51.480,Paul McCartney,146
149,Now this seems like an unfortunate situation for Uber. But there's more to it. There's 3.5 million customers who last and arguably better product.,00:29:15.090,00:29:07.740,Paul McCartney,147
150,"40,000 jobs are potentially lost from this and most Uber drivers and lease or contract higher their cars and then obviously the revenue for Uber in London.",00:29:24.600,00:29:15.480,Paul McCartney,148
151,"So what we really want to know of our data, the raw numbers. The proportions, the relative proportions changes the entire analysis.",00:29:33.660,00:29:24.930,Paul McCartney,149
152,So now we'll do one more example of what that's a little bit lighter and my mother. My mother was very excited when she saw these headlines.,00:29:41.910,00:29:34.650,Paul McCartney,150
153,"Chocolate can stave off all simers as cocoa, the brain drug of the future chocolate improves brain function. This is about a year and a half ago, my mother was ecstatic. She called me. She said, liberty, I told you so.",00:29:53.850,00:29:42.210,Paul McCartney,151
154,This is amazing. And she asked me the question that we probably wanted to ask of the data. How much chocolate. Can you look back at the study liberty. How much chocolate. Can I actually get to eat.,00:30:08.910,00:29:54.720,Paul McCartney,152
155,"In order to potentially reduce my risk. So that was the question she asked, and that is what we want to know. Right. How much chocolate. Do I get to eat to potentially reduce my risk.",00:30:21.510,00:30:09.810,Paul McCartney,153
156,"Well, it's obviously not chocolate. That's what reduces our risk. It's a bioactive called flavanols and flavanols are in chocolate. They're also in red wine.",00:30:30.930,00:30:21.960,Paul McCartney,154
157,"And so the question really is, is how many flavanols. Do I have to eat every day. And that's 510 milligrams. So unless you're going to take a five and all pill. You want to know how many flavanols are in chocolate.",00:30:43.230,00:30:31.620,Paul McCartney,155
158,"So let's say you, um, you're not really a chocolate person, but you might drink, eat some cocoa powder, you know, put it in, mix it into water a little hot chocolate.",00:30:52.050,00:30:43.890,Paul McCartney,156
159,And you'd have to have 20 cups of hot chocolate every day in order to potentially reduce your risk.,00:30:58.470,00:30:52.500,Paul McCartney,157
160,If you don't like hot chocolate and your dark chocolate person you'd have to have 1600 calories of dark chocolate every day.,00:31:05.730,00:30:58.710,Paul McCartney,158
161,And if you're like me and you like milk chocolate. That's 3900 calories every day of milk chocolate.,00:31:12.810,00:31:06.030,Paul McCartney,159
162,"In order to potentially reduce your risk. Now, I'm not saying I couldn't do that. Okay, but I am saying that I would die of something else, way before I had to worry about getting Alzheimer's or dementia.",00:31:24.750,00:31:13.050,Paul McCartney,160
163,"And yes, this as well as the previous example, I'm looking at the chat does have enormous really really fascinating correlations to health care and we're actually going to do one of those examples. Next, especially with Kobe that I think should be interesting for everyone to see.",00:31:41.790,00:31:25.530,Paul McCartney,161
164,"So the question of what we really want to know what we care about death by chocolate yes 3900 calories a day. I think we could do it for a little while, but it may not be great.",00:31:51.840,00:31:42.960,Paul McCartney,162
165,"And I also I, you know, when I was looking back at this study from my mom, I thought, you know, I wonder who funded",00:31:57.720,00:31:52.110,Paul McCartney,163
166,"This study who wanted us to think that chocolate was so great for us. And it's amazing that Mars center for cocoa health science was in charge of the research for this one. They just, you know, so kind of them to want us to, you know, have their products do good for us very frightened.",00:32:12.810,00:31:58.110,Paul McCartney,164
167,"So we get to our third question we have, who is the data. What do we really want to know, and we get to how is it interpreted",00:32:21.870,00:32:14.400,Paul McCartney,165
168,"So french fries. I like chocolate. But I like French fries, a lot better and I saw this this headline come out eight year study",00:32:29.550,00:32:22.170,Paul McCartney,166
169,Finds heavy french fry eaters have double the chance of death could french fries be killing you french fries are killing you.,00:32:37.830,00:32:29.790,Paul McCartney,167
170,This is true. According to a peer reviewed study published in the American Journal of Clinical Nutrition and what the journal actually said,00:32:46.410,00:32:38.130,Paul McCartney,168
171,"Is that if you eat any form of fried potato more than twice a week, which means three times per week or more you double your risk of death.",00:32:54.270,00:32:47.070,Paul McCartney,169
172,"And it's true. That is what the journal said, and I went back to the study. So let's, let's start with our questions who well in the study. The average person was a 60 YEAR OLD MAN Okay.",00:33:06.450,00:32:54.660,Paul McCartney,170
173,"And what we really want to know is, we want to know what the differences for risk of death of a 60 year old man, if you eat no potatoes. No french fries versus if you do",00:33:17.670,00:33:07.170,Paul McCartney,171
174,"And that is doubling your risk of death. So our COO and our what makes sense. The question is, is how is it interpreted. So let's look at it a little bit of a different way than doubling your risk of death.",00:33:29.280,00:33:18.030,Paul McCartney,172
175,"If you're a 60 year old man, your risk of death at any point in time, regardless of how much you eat.",00:33:35.220,00:33:29.820,Paul McCartney,173
176,"Is 1% meaning that if I line up 160 year old men. One of them will die in the next year, just by virtue of the fact that they're 60 and their male sorry 60 year old man apologize but it's going to be better at the end.",00:33:47.820,00:33:35.880,Paul McCartney,174
177,"Now, if these 100 men eat french fries three times per week or more for their entire lives instead of one of them dying.",00:34:02.190,00:33:48.570,Paul McCartney,175
178,"To will we double our risk of death instead of one, two, which is still bad. Okay, but it sounds a whole lot better to go from a 1% to a 2% then doubling your risk of death.",00:34:15.390,00:34:03.180,Paul McCartney,176
179,"And I also, you know, I don't know about you guys, but when I eat french",00:34:19.260,00:34:16.320,Paul McCartney,177
180,"Like I eat french fries. I love them, but I don't really just eat french fries. Right. I have like a couple of beers. I have a big old juicy cheeseburger right there with me.",00:34:28.950,00:34:19.530,Paul McCartney,178
181,"And you know if I'm eating french fries three times per week or more, I'm not sure I'm like eating perfectly healthy. The rest of the time. Okay.",00:34:36.390,00:34:29.250,Paul McCartney,179
182,I may not exactly be you know out there running five miles per day. If I'm eating french fries three times per week or more. So could it potentially be something else that has an effect on this.,00:34:46.290,00:34:36.570,Paul McCartney,180
183,"So that how we interpret, whether it's double risk of death or one in 100 to two and 100 and these dudes get to eat french fries. All time",00:34:54.960,00:34:47.220,Paul McCartney,181
184,changes how we see this data. Let's look at another example. And this brings us to the covert testing that we were discussing here earlier.,00:35:03.360,00:34:55.500,Paul McCartney,182
185,"And yes, it is too bad that we can't rely on news outlets, you really have to think about these things and ask these questions yourself, which is very, very difficult.",00:35:12.210,00:35:03.690,Paul McCartney,183
186,"Okay, I have the antibodies. So it's safe. If we hang out. We now have an antibody test for coven",00:35:19.230,00:35:12.960,Paul McCartney,184
187,Meaning that if you've had coven you take the antibody test. If you have the antibodies. The idea is that you are then immune from coven and you also cannot pass it on to other people.,00:35:28.290,00:35:19.470,Paul McCartney,185
188,For the purposes of this will assume that's true that if you have antibodies. You can you assume that you're immune and you cannot pass it on to other people.,00:35:36.930,00:35:28.800,Paul McCartney,186
189,"And I've had people say this to me. I've had friends say this to me. I have the antibodies. So it's safe. We can hang out. You can be around me and then go be around your elderly parents, no problem.",00:35:46.920,00:35:37.290,Paul McCartney,187
190,"So the question is, is that true, how good is the testing. So the CDC put out guidance to the general public about these antibody tests. They said, and a population or the prevalence is 5% a test with 90% sensitivity and 95% specificity will yield the positive predictive value of 49%",00:36:05.220,00:35:47.550,Paul McCartney,188
191,"Sorry. You think the general person that's taking an antibody test has any idea what that means include. I mean, it takes me and this is what I do for a living. And it takes me a while to sit down there and puzzle out what this means.",00:36:18.090,00:36:06.270,Paul McCartney,189
192,"How are people supposed to really understand this. Yes, this is definitely where the headache comes on. Thank you.",00:36:23.670,00:36:18.660,Paul McCartney,190
193,So let's take a step back and think about what question we really want to know the first test approved by the FDA for coven 19 antibody testing as sent on the CDC website is 95% accurate.,00:36:38.220,00:36:24.360,Paul McCartney,191
194,"What we want to know is what is the chance if your friend comes to you and says, I have the antibodies, it's safe to hang out.",00:36:44.490,00:36:38.790,Paul McCartney,192
195,"What you want to know is what is the chance that an individual actually has the antibodies, assuming they test positive",00:36:52.470,00:36:44.910,Paul McCartney,193
196,Most people would assume based upon the CDC website is that it's 95% the test is 95% accurate. So there's a 95% chance that they have the antibodies and then it's fine.,00:37:02.580,00:36:53.130,Paul McCartney,194
